Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,,
10244030,00000023,FALSE,Rx,0,5,21,E6,C2,40,F4,00,00,00,,,
10294003,0000001B,FALSE,Rx,0,3,22,FF,DD,00,00,00,00,00,,,
10324006,00000023,FALSE,Rx,0,5,22,8A,BD,00,95,00,00,00,,,
10373971,0000001B,FALSE,Rx,0,3,23,FF,DC,00,00,00,00,00,,,
10403927,00000023,FALSE,Rx,0,5,23,E6,C2,00,33,00,00,00,,,
10454027,0000001B,FALSE,Rx,0,3,25,FF,DA,00,00,00,00,00,,,
10484127,00000023,FALSE,Rx,0,5,25,CB,BC,40,12,00,00,00,,,
10533995,0000001B,FALSE,Rx,0,3,26,FF,D9,00,00,00,00,00,,,
10563983,00000023,FALSE,Rx,0,5,26,4E,BD,00,CD,00,00,00,,,
10614091,0000001B,FALSE,Rx,0,3,28,FF,D7,00,00,00,00,00,,,
10643975,00000023,FALSE,Rx,0,5,28,CF,C2,00,45,00,00,00,,,
10694116,0000001B,FALSE,Rx,0,3,24,FF,DB,00,00,00,00,00,,,
10723992,00000023,FALSE,Rx,0,5,24,1F,C0,00,FB,00,00,00,,,
10774139,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
10804078,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
10853876,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
10884072,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
10934028,0000002E,FALSE,Rx,0,5,21,FE,FF,FF,DF,00,00,00,,FFFE,65534
10964048,0000001B,FALSE,Rx,0,3,21,FF,DE,00,00,00,00,00,,,
10994314,00000023,FALSE,Rx,0,5,21,E6,C2,02,33,00,00,00,,,
11043935,0000001B,FALSE,Rx,0,3,22,FF,DD,00,00,00,00,00,,,
11074027,00000023,FALSE,Rx,0,5,22,8A,BD,00,95,00,00,00,,,
11123960,0000001B,FALSE,Rx,0,3,23,FF,DC,00,00,00,00,00,,,
11153924,00000023,FALSE,Rx,0,5,23,E6,C2,00,33,00,00,00,,,
11203970,0000002E,FALSE,Rx,0,5,25,FE,FF,FF,DB,00,00,00,,FFFE,65534
11234053,0000001B,FALSE,Rx,0,3,25,FF,DA,00,00,00,00,00,,,
11264073,00000023,FALSE,Rx,0,5,25,CB,BC,02,50,00,00,00,,,
11314045,0000001B,FALSE,Rx,0,3,26,FF,D9,00,00,00,00,00,,,
11344433,00000023,FALSE,Rx,0,5,26,4E,BD,00,CD,00,00,00,,,
11394190,0000001B,FALSE,Rx,0,3,28,FF,D7,00,00,00,00,00,,,
11424137,00000023,FALSE,Rx,0,5,28,CF,C2,00,45,00,00,00,,,
11474117,0000001B,FALSE,Rx,0,3,24,FF,DB,00,00,00,00,00,,,
11503969,00000023,FALSE,Rx,0,5,24,DB,C0,00,3F,00,00,00,,,
11554077,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
11584216,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
11623933,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
11654056,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
11703998,0000002C,FALSE,Rx,0,5,21,81,C2,FF,9A,00,00,00,,C281,49793
11734081,0000001B,FALSE,Rx,0,3,21,FF,DE,00,00,00,00,00,,,
11764108,00000023,FALSE,Rx,0,5,21,81,C2,00,9A,00,00,00,,,
11814089,0000001B,FALSE,Rx,0,3,22,FF,DD,00,00,00,00,00,,,
11844116,00000023,FALSE,Rx,0,5,22,8A,BD,00,95,00,00,00,,,
11894320,0000001B,FALSE,Rx,0,3,23,FF,DC,00,00,00,00,00,,,
11924179,00000023,FALSE,Rx,0,5,23,E6,C2,00,33,00,00,00,,,
11974000,0000002C,FALSE,Rx,0,5,25,4A,BD,FF,D2,00,00,00,,BD4A,48458
12004163,0000001B,FALSE,Rx,0,3,25,FF,DA,00,00,00,00,00,,,
12034174,00000023,FALSE,Rx,0,5,25,4A,BD,00,D2,00,00,00,,,
12084282,0000001B,FALSE,Rx,0,3,26,FF,D9,00,00,00,00,00,,,
12114237,00000023,FALSE,Rx,0,5,26,4E,BD,00,CD,00,00,00,,,
12164121,0000001B,FALSE,Rx,0,3,28,FF,D7,00,00,00,00,00,,,
12194388,00000023,FALSE,Rx,0,5,28,CF,C2,00,45,00,00,00,,,
12243985,0000001B,FALSE,Rx,0,3,24,FF,DB,00,00,00,00,00,,,
12274093,00000023,FALSE,Rx,0,5,24,94,C1,00,85,00,00,00,,,
12324026,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
12354173,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
12404673,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
12434164,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
12484210,0000002E,FALSE,Rx,0,5,21,FC,FF,FF,E1,00,00,00,,FFFC,65532
12514062,0000001B,FALSE,Rx,0,3,21,FF,DE,00,00,00,00,00,,,
12544010,00000023,FALSE,Rx,0,5,21,81,C2,00,9A,00,00,00,,,
12598486,0000001B,FALSE,Rx,0,3,22,FF,DD,00,00,00,00,00,,,
12624106,00000023,FALSE,Rx,0,5,22,8A,BD,00,95,00,00,00,,,
